Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero,Human
NORP,58,1.0,1.0,1.0,1.0,1.0,1.0
LOC,32,0.0,1.0,0.6666666666666666,1.0,1.0,1.0
WORK_OF_ART,17,0.0,1.0,0.33333333333333337,1.0,1.0,1.0
FAC,17,0.0,0.0,0.0,1.0,1.0,0.0
PRODUCT,21,0.0,1.0,0.16666666666666669,1.0,1.0,1.0
EVENT,9,0.0,0.0,0.0,0.0,1.0,1.0
LAW,2,0.0,1.0,0.2222222222222222,1.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.19999999999999998,1.0,1.0,1.0
unknown,189,0.0,1.0,0.2857142857142857,1.0,1.0,1.0
Overall,19,0.10526315789473684,0.47368421052631576,0.25948203842940687,0.631578947368421,0.631578947368421,0.5789473684210527
gpt4,gpt4,gpt4,gpt4,gpt4,gpt4,gpt4,gpt4
DATE,52,0.0,0.0,0.0,0.0,1.0,0.0
CARDINAL,105,0.0,0.0,0.0,0.0,0.0,0.0
QUANTITY,1,0.0,0.0,0.28571428571428575,1.0,1.0,0.0
ORDINAL,3,0.0,1.0,0.19999999999999998,1.0,1.0,1.0
MONEY,4,0.0,0.0,0.0,1.0,0.0,0.0
PERCENT,2,0.0,1.0,0.19999999999999998,1.0,1.0,0.0
TIME,5,0.0,0.0,0.07692307692307693,1.0,1.0,0.0
PERSON,744,0.0,1.0,0.19999999999999998,1.0,1.0,1.0
GPE,296,0.0,0.0,0.0,0.0,1.0,0.0
ORG,380,0.0,1.0,0.14285714285714288,1.0,1.0,1.0
NORP,58,0.0,1.0,0.15384615384615385,1.0,1.0,1.0
LOC,32,0.0,1.0,0.18181818181818182,1.0,1.0,1.0
WORK_OF_ART,17,0.0,1.0,0.33333333333333337,1.0,1.0,1.0
FAC,17,0.0,1.0,0.23529411764705882,1.0,1.0,1.0
PRODUCT,21,0.0,0.0,0.0,0.0,0.0,0.0
EVENT,9,0.0,0.0,0.0,1.0,1.0,1.0
LAW,2,0.0,1.0,0.2222222222222222,1.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.19999999999999998,1.0,1.0,1.0
unknown,189,0.0,1.0,0.25,1.0,1.0,1.0
Overall,19,0.0,0.5789473684210527,0.14115834286112924,0.7894736842105263,0.8421052631578947,0.5789473684210527
newbing,newbing,newbing,newbing,newbing,newbing,newbing,newbing
DATE,52,0.0,0.0,0.0,0.0,0.0,0.0
CARDINAL,105,0.0,0.0,0.0,0.0,0.0,0.0
QUANTITY,1,0.0,0.0,0.0,1.0,1.0,0.0
ORDINAL,3,0.0,1.0,0.17391304347826084,1.0,1.0,1.0
MONEY,4,0.0,0.0,0.0,1.0,0.0,0.0
PERCENT,2,0.0,0.0,0.0,0.0,0.0,0.0
TIME,5,0.0,1.0,0.0851063829787234,1.0,1.0,1.0
PERSON,744,0.0,1.0,0.1142857142857143,1.0,1.0,1.0
GPE,296,0.0,0.0,0.0,1.0,0.0,0.0
ORG,380,0.0,1.0,0.09523809523809523,1.0,1.0,1.0
NORP,58,0.0,1.0,0.05714285714285715,1.0,1.0,1.0
LOC,32,0.0,1.0,0.05405405405405406,1.0,1.0,1.0
WORK_OF_ART,17,0.0,1.0,0.125,1.0,1.0,1.0
FAC,17,0.0,0.0,0.0,1.0,0.0,0.0
PRODUCT,21,0.0,0.0,0.0,0.0,0.0,0.0
EVENT,9,0.0,0.0,0.0,1.0,1.0,1.0
LAW,2,0.0,1.0,0.02985074626865672,1.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.05063291139240507,1.0,1.0,1.0
unknown,189,0.0,1.0,0.06666666666666667,1.0,1.0,1.0
Overall,19,0.0,0.5263157894736842,0.04483634060554913,0.7894736842105263,0.631578947368421,0.5789473684210527
