Entity,Number of data,Hard EM,Soft EM,F1,BEM,Instzero
FAC,17,1.0,1.0,1.0,0.0,1.0
PRODUCT,21,0.0,1.0,0.0,1.0,1.0
EVENT,9,0.0,0.0,0.0,0.0,1.0
LAW,2,0.0,1.0,1.0,1.0,1.0
LANGUAGE,1,1.0,1.0,1.0,1.0,1.0
unknown,189,0.0,1.0,0.0,1.0,1.0
Overall,19,0.47368421052631576,0.8421052631578947,0.5789473684210527,0.8421052631578947,0.8947368421052632
chatgpt,chatgpt,chatgpt,chatgpt,chatgpt,chatgpt,chatgpt
DATE,52,1.0,1.0,1.0,1.0,1.0
CARDINAL,105,1.0,1.0,1.0,1.0,1.0
QUANTITY,1,0.0,0.0,0.0,1.0,1.0
ORDINAL,3,1.0,1.0,1.0,1.0,1.0
MONEY,4,1.0,1.0,1.0,1.0,1.0
PERCENT,2,1.0,1.0,1.0,0.0,1.0
TIME,5,1.0,1.0,1.0,1.0,1.0
PERSON,744,1.0,1.0,1.0,1.0,1.0
GPE,296,1.0,1.0,1.0,1.0,1.0
ORG,380,0.0,1.0,0.0,1.0,1.0
NORP,58,1.0,1.0,1.0,1.0,1.0
LOC,32,0.0,1.0,1.0,1.0,1.0
WORK_OF_ART,17,0.0,1.0,0.0,1.0,1.0
FAC,17,1.0,1.0,1.0,0.0,0.0
PRODUCT,21,0.0,1.0,0.0,1.0,1.0
EVENT,9,0.0,0.0,0.0,0.0,1.0
LAW,2,0.0,1.0,0.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.0,1.0,1.0
unknown,189,0.0,1.0,0.0,1.0,1.0
Overall,19,0.5263157894736842,0.8947368421052632,0.5789473684210527,0.8421052631578947,0.9473684210526315
gpt4,gpt4,gpt4,gpt4,gpt4,gpt4,gpt4
DATE,52,1.0,1.0,1.0,1.0,0.0
CARDINAL,105,1.0,1.0,1.0,1.0,1.0
QUANTITY,1,1.0,1.0,1.0,0.0,0.0
ORDINAL,3,0.0,1.0,0.0,1.0,1.0
MONEY,4,1.0,1.0,1.0,0.0,1.0
PERCENT,2,1.0,0.0,1.0,0.0,0.0
TIME,5,1.0,1.0,1.0,0.0,0.0
PERSON,744,0.0,1.0,0.0,1.0,1.0
GPE,296,1.0,1.0,1.0,1.0,0.0
ORG,380,0.0,1.0,0.0,1.0,1.0
NORP,58,0.0,1.0,0.0,1.0,1.0
LOC,32,0.0,1.0,0.0,1.0,1.0
WORK_OF_ART,17,0.0,1.0,0.0,1.0,1.0
FAC,17,0.0,1.0,0.0,1.0,1.0
PRODUCT,21,1.0,1.0,1.0,1.0,1.0
EVENT,9,0.0,0.0,0.0,1.0,1.0
LAW,2,0.0,1.0,0.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.0,1.0,1.0
unknown,189,0.0,1.0,0.0,1.0,1.0
Overall,19,0.42105263157894735,0.8947368421052632,0.42105263157894735,0.7894736842105263,0.7368421052631579
newbing,newbing,newbing,newbing,newbing,newbing,newbing
DATE,52,1.0,1.0,1.0,1.0,1.0
CARDINAL,105,1.0,1.0,1.0,1.0,1.0
QUANTITY,1,1.0,1.0,1.0,0.0,0.0
ORDINAL,3,0.0,1.0,0.0,1.0,1.0
MONEY,4,1.0,1.0,1.0,0.0,1.0
PERCENT,2,1.0,1.0,1.0,1.0,1.0
TIME,5,0.0,1.0,0.0,1.0,1.0
PERSON,744,0.0,1.0,0.0,1.0,1.0
GPE,296,1.0,1.0,1.0,0.0,1.0
ORG,380,0.0,1.0,0.0,1.0,1.0
NORP,58,0.0,1.0,0.0,1.0,1.0
LOC,32,0.0,1.0,0.0,1.0,1.0
WORK_OF_ART,17,0.0,1.0,0.0,1.0,1.0
FAC,17,1.0,1.0,1.0,0.0,1.0
PRODUCT,21,1.0,1.0,1.0,1.0,1.0
EVENT,9,0.0,0.0,0.0,1.0,1.0
LAW,2,0.0,1.0,0.0,1.0,1.0
LANGUAGE,1,0.0,1.0,0.0,1.0,1.0
unknown,189,0.0,1.0,0.0,1.0,1.0
Overall,19,0.42105263157894735,0.9473684210526315,0.42105263157894735,0.7894736842105263,0.9473684210526315
